Name,V,M,n,np,B,G,E,v,H,B',G',_,vL,vS,va,_e,_el,_es,_e,A,y-theory,y-exp
1079046_BC7,47.5,94.888,8,8,388.624,392.753,881.3532292,0.122019729,66.67454874,-22.2508,-15.734,3.317158561,16.5838153,10.88119617,11.91923889,979.8522333,0.958737077,0.784777371,0.846744319,8.08E-07,151.8454351,125
30148_B2C4N2,47.44,97.668,8,8,374.895,420.969,918.9459991,0.091465166,78.54429761,-21.8318,-17.8282,3.418661982,16.54829377,11.09678002,12.12174516,996.9197238,0.988761506,0.837884509,0.891020055,9.13E-07,167.9239221,120
585_MnB2,22.05,76.56,3,3,262.529,78.2193,213.458266,0.364485913,6.213817752,-38.3107,-6.17376,5.765565086,7.976390223,3.683290925,4.149308779,440.5374392,1.232187761,0.70352399,0.914362927,9.72E-07,23.70714283,117
1145_TiB2,25.68,69.502,3,3,261.322,252.517,572.989839,0.134556958,48.86007698,-31.0911,-25.358,4.49418381,11.53531058,7.495832876,8.220631718,829.564423,1.226849873,1.122738482,1.158482342,1.71E-06,166.2059021,110
1330_AlN,16.84,40.982,2,2,255.333,232.261,534.665399,0.151001242,43.35141308,-44.4764,-36.5213,4.041100116,11.82442219,7.581206753,8.327505357,967.2620696,1.221800321,1.157315173,1.179202109,1.79E-06,203.8970007,107
1018027_VN,17.2,64.942,2,2,347.305,253.005,610.71658,0.20692591,35.1471133,-71.491,-37.6998,6.269685562,10.44984479,6.352456089,7.018245563,809.4605295,1.362759006,1.114803186,1.203146485,1.88E-06,192.2436802,101
2490_GaP,42.41,100.697,2,2,80.7096,50.9903,126.3604468,0.239063575,11.6565008,-8.00336,-1.27945,3.942727915,6.141185455,3.596212777,3.987418246,340.417831,1.217934412,0.365409772,0.763852699,6.31E-07,24.97564589,100
2172_AlAs,47.13,101.903,2,2,67.0829,41.6954,103.6182197,0.242561766,10.1659706,-4.75488,-0.52985,3.590360672,5.845371549,3.407807334,3.780040941,311.5592308,0.8824043,0.132788795,0.52086565,2.52E-07,17.22008444,98
856_SnO2,75.47,301.42,6,6,179.366,88.1293,227.1804506,0.288904205,11.96300307,-8.88176,-1.66219,6.632026665,6.69054186,3.6453315,4.066081227,286.4581609,1.243988125,0.545046006,0.844917501,8.04E-07,18.73504798,98
20351_InP,53.99,145.794,2,2,63.0936,31.4462,80.89851119,0.286300271,6.65701181,-4.39262,-0.36826,4.484095693,4.839521578,2.64817481,2.952874792,232.6040055,1.088630787,0.149466243,0.640259663,4.13E-07,11.65042179,93
1550_AlP,41.76,57.955,2,2,84.8087,49.085,123.4403465,0.257414144,10.28892156,-6.38519,-0.49143,2.30451197,8.074683568,4.615140358,5.128156837,440.0659181,0.811695582,0.042380056,0.469908451,1.97E-07,25.43743423,90
1764974_ScSiLi,206.22,320.204,12,3,67.3645,39.7644,99.67993733,0.253381634,9.308471019,-1.07333,-0.66828,2.575712763,6.83652063,3.929149033,4.363832337,349.0768581,1.515838446,1.56619868,1.549593797,3.45E-06,20.21393895,71.14
1751646_AlPtTa,221.87,1612.04,12,3,177.792,81.9192,213.0379136,0.300292933,10.63223609,-2.74219,-0.55718,12.05254302,4.87994491,2.607074886,2.91215273,227.3410615,1.18035595,0.587866621,0.833549538,7.78E-07,22.47744227,66.55
1778_BeO,14.02,25.013,2,2,193.426,163.141,382.0206365,0.17082964,32.27423047,-62.0336,-18.6352,2.962554289,11.77768472,7.42076026,8.167446453,1008.432632,1.315354238,0.634068599,0.919101508,9.84E-07,120.0800746,62.77
1763617_SiRhTa,203.91,1247.76,12,3,201.272,81.8362,216.205856,0.320967103,9.179578405,-2.1055,-0.86391,10.15065329,5.529740077,2.839394459,3.180100986,255.3434173,0.903308072,0.909628959,0.907526888,9.55E-07,24.79668197,60.08
1265_MgO,19.16,40.305,2,2,153.228,122.451,290.0809889,0.184477827,25.61877031,-19.7986,-17.1614,3.493107642,9.518710716,5.920729005,6.525654421,726.0538547,1.125226029,1.175961911,1.159296691,1.72E-06,87.93822721,60
343_PrN,30.69,154.908,2,2,131.601,68.7342,175.6264763,0.277577075,11.11053962,-43.9232,-3.31552,8.381572511,5.160950259,2.863674734,3.189738142,303.3188039,3.15628223,0.573527507,1.881487454,5.49E-06,34.99492084,58.21
2624_AlSb,60.56,148.731,2,2,49.365,29.8318,74.49030311,0.248505003,8.087085792,-2.84822,-0.31204,4.078159239,4.675262623,2.704628621,3.002126069,227.6024344,0.942166443,0.150061496,0.557588412,2.97E-07,10.94686987,56
